age,AGE
rating,RATING
time2maturity,T2M
size,SIZE
duration,DUR
VaR_5%,VAR5
VaR_10%,VAR10
BPW,LIQ_BPW
Roll,LIQ_ROLL
P_HL,LIQ_P_HL
P_FHT,LIQ_P_FHT
Amihud,LIQ_AMIHUD
std_Amihud,LIQ_STD_AMIHUD
TC_IQR,LIQ_TC_IQR
market_beta,MKT_BETA
default_beta,DEF_BETA
term_beta,TERM_BETA
liq_beta,LIQ_BETA
drf_beta,DRF_BETA
crf_beta,CRF_BETA
lrf_beta,LRF_BETA
vix_beta,VIX_BETA
unc_beta,UNC_BETA
1-month_mom,STR
variance,VARIANCE
skewness,SKEW
kurtosis,KURT
COSKEW,COSKEW
ISKEW,ISKEW
Range_daily,LIQ_RANGE
trades,LIQ_TRADE
market_residual_variance,MKT_RVAR
term_default_residual_variance,TERM_DEF_RVAR
turnover,TURN_CB
ytm,YTM
6-month_mom,MOM6
12-month_mom,MOM12
LTR_mom,LTR
barQ,barQ
std_barQ_1mom,std_barQ_1mom
range_monthly,LIQ_RANGE_M
